,Ticker,Weight
237,WLTW,0.088232
238,MTD,0.087942
239,DFS,0.086909
240,AME,0.086639
241,DLTR,0.086616
242,OTIS,0.086249
243,MPC,0.085202
244,WMB,0.085199
245,DAL,0.085016
246,WY,0.082611
247,CLX,0.082106
248,STT,0.08096
249,CPRT,0.080761
250,AJG,0.079021
251,SWKS,0.078942
252,DHI,0.078834
253,KR,0.078182
254,CERN,0.077345
255,EIX,0.077312
256,ED,0.077041
257,FLT,0.076801
258,KEYS,0.076778
259,DTE,0.076696
260,BBY,0.075801
261,FRC,0.075773
262,FTV,0.075759
263,EFX,0.075641
264,MKC,0.075029
265,LYB,0.074803
266,VLO,0.074789
267,MXIM,0.074266
268,AMP,0.074112
269,AVB,0.073886
270,ETSY,0.07276
271,KHC,0.072725
272,HSY,0.072724
273,TTWO,0.071947
274,VRSN,0.071398
275,LEN,0.071182
276,MKTX,0.070357
277,PAYC,0.070121
278,CBRE,0.069714
279,CHD,0.069294
280,VTRS,0.06901
281,PPL,0.068067
282,O,0.067829
283,ARE,0.067557
284,EQR,0.06621
285,VIAC,0.066165
286,RSG,0.066018
287,WST,0.065479
288,ZBRA,0.064892
289,ETR,0.064749
290,TER,0.064241
291,LH,0.06367
292,IP,0.063297
293,HOLX,0.063031
294,CDW,0.062525
295,FITB,0.062478
296,AEE,0.062334
297,NTRS,0.062135
298,TSN,0.062041
299,VTR,0.061535
300,PXD,0.061438
301,SIVB,0.061096
302,LVS,0.061059
303,ODFL,0.060547
304,TFX,0.060154
305,KSU,0.060117
306,GWW,0.059827
307,VMC,0.059627
308,FTNT,0.059515
309,AMCR,0.059178
310,QRVO,0.059103
311,TYL,0.058862
312,OKE,0.058656
313,DOV,0.058209
314,SYF,0.058134
315,XYL,0.057729
316,HAL,0.057202
317,CAG,0.056681
318,GRMN,0.05619
319,BR,0.055812
320,COO,0.055752
321,AKAM,0.055301
322,CTLT,0.055136
323,TSCO,0.054824
324,EXPE,0.05475
325,IR,0.054682
326,CMS,0.054634
327,HIG,0.054571
328,NUE,0.054343
329,URI,0.053691
330,MLM,0.053578
331,PEAK,0.05337
332,FE,0.053339
333,INCY,0.053199
334,KMX,0.053157
335,CTXS,0.052366
336,MTB,0.052333
337,OXY,0.052055
338,DGX,0.05189
339,PKI,0.051473
340,CAH,0.051413
341,VAR,0.051304
342,ESS,0.051198
343,WDC,0.051192
344,HPE,0.051105
345,EXPD,0.051089
346,K,0.050692
347,WAT,0.050471
348,ANET,0.050262
349,STE,0.050251
350,HES,0.050227
351,CE,0.05022
352,DRI,0.0501
353,ULTA,0.049789
354,KEY,0.049772
355,DPZ,0.0497
356,RF,0.048717
357,FMC,0.048582
358,DRE,0.048238
359,CFG,0.048124
360,EXR,0.047917
361,STX,0.04791
362,IEX,0.047835
363,NDAQ,0.047798
364,NVR,0.047702
365,ALB,0.047498
366,AES,0.047148
367,ABC,0.04706
368,MAS,0.046852
369,BF.B,0.046501
370,POOL,0.046299
371,NTAP,0.046146
372,MAA,0.046098
373,BXP,0.046089
374,GPC,0.045648
375,TIF,0.045548
376,EMN,0.045425
377,TDY,0.045425
378,J,0.045262
379,BKR,0.045239
380,LDOS,0.045226
381,IT,0.045143
382,OMC,0.044603
383,UAL,0.043281
384,HRL,0.043037
385,RCL,0.042713
386,WAB,0.042625
387,SJM,0.042265
388,PKG,0.041348
389,MGM,0.041309
390,AVY,0.041111
391,ABMD,0.040985
392,CINF,0.040861
393,LNT,0.040766
394,HBAN,0.040681
395,BIO,0.04059
396,PFG,0.040516
397,CHRW,0.040374
398,JKHY,0.040151
399,EVRG,0.039977
400,FBHS,0.039794
401,CXO,0.039504
402,NLOK,0.039395
403,IFF,0.039288
404,PHM,0.038936
405,ATO,0.038774
406,CNP,0.038755
407,WHR,0.038711
408,HAS,0.038483
409,RJF,0.03795
410,XRAY,0.037718
411,JBHT,0.037479
412,WRK,0.037282
413,LW,0.037158
414,UDR,0.03641
415,CCL,0.036318
416,AAP,0.035977
417,WYNN,0.035784
418,UHS,0.035193
419,TXT,0.035039
420,L,0.034306
421,ALLE,0.034166
422,FFIV,0.033962
423,LYV,0.033828
424,HWM,0.0338
425,LKQ,0.033692
426,HST,0.032658
427,LUMN,0.03212
428,HSIC,0.031873
429,FOXA,0.031786
430,CBOE,0.031569
431,CPB,0.031358
432,BWA,0.030886
433,PWR,0.030791
434,WU,0.03074
435,RE,0.030572
436,WRB,0.030424
437,SNA,0.03036
438,IPG,0.02971
439,GL,0.02967
440,LNC,0.029129
441,LB,0.028807
442,PNW,0.028807
443,PNR,0.028731
444,DVA,0.02823
445,AAL,0.027919
446,ROL,0.027886
447,TAP,0.027843
448,NI,0.027614
449,IRM,0.02738
450,TPR,0.026688
451,NRG,0.026544
452,MHK,0.026229
453,MOS,0.026079
454,CF,0.026019
455,AIZ,0.02597
456,DISCK,0.02539
457,DISH,0.02512
458,IPGP,0.024884
459,NWL,0.024749
460,FANG,0.024707
461,REG,0.024286
462,AOS,0.024243
463,JNPR,0.02413
464,CMA,0.023772
465,RHI,0.023163
466,NCLH,0.022657
467,SEE,0.022646
468,HII,0.022564
469,COG,0.022255
470,ZION,0.022249
471,NLSN,0.022231
472,PVH,0.022159
473,BEN,0.021817
474,NWSA,0.021734
475,IVZ,0.021088
476,PRGO,0.020696
477,KIM,0.020543
478,FRT,0.020498
479,DVN,0.020227
480,ALK,0.01999
481,VNO,0.019699
482,AIRC,0.019386
483,DXC,0.01937
484,APA,0.019061
485,FLIR,0.018134
486,MRO,0.018004
487,PBCT,0.017743
488,LEG,0.017477
489,NOV,0.017209
490,RL,0.016297
491,HBI,0.015993
492,FLS,0.015558
493,UNM,0.014969
494,VNT,0.014656
495,DISCA,0.01463
496,FOX,0.014572
497,SLG,0.014289
498,XRX,0.01392
499,GPS,0.013817
500,FTI,0.013177
501,HFC,0.01231
502,UAA,0.01023
503,UA,0.009545
504,NWS,0.00703
505,AIV,0.002273
